,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
0,81,17,4,0,5,1,3,0,0,0
1,58,10,8,1,4,2,0,2,1,0
2,99,2,8,5,4,2,0,1,1,0
3,40,0,0,3,0,5,0,1,0,0
4,82,7,4,2,7,7,0,1,0,0
5,55,5,4,6,4,12,0,0,2,0
6,44,14,6,3,8,1,0,0,0,0
7,63,2,3,0,3,0,3,0,1,0
8,89,4,16,3,8,2,5,1,0,0
9,39,0,3,1,1,1,0,3,0,0
10,101,14,7,1,11,3,9,0,0,11
11,39,6,3,1,0,0,0,0,0,0
12,39,5,8,0,1,0,0,0,1,0
13,24,8,2,0,0,0,0,0,0,0
14,44,4,0,6,3,3,0,0,0,0
15,29,9,7,0,0,0,0,0,0,0
16,92,3,8,9,6,2,0,0,0,0
17,60,8,4,0,3,0,0,1,0,0
18,66,1,1,3,8,0,2,1,0,0
19,61,6,5,3,4,0,5,0,0,0
20,179,20,8,7,11,9,0,0,0,0
21,80,10,4,1,1,0,1,0,0,0
22,25,14,0,0,1,0,3,1,0,0
23,79,8,4,7,3,5,0,0,3,0
24,96,13,11,1,0,2,11,0,0,0
25,48,1,4,7,2,0,0,0,0,0
26,142,11,13,9,8,1,4,1,3,0
27,99,8,9,7,6,10,0,4,2,0
28,30,3,2,4,0,2,0,0,0,0
29,85,10,4,0,10,0,4,0,0,0
30,83,3,5,1,0,1,3,2,0,0
31,25,8,2,6,6,0,0,0,0,0
32,98,13,13,1,0,2,11,0,0,0
33,71,23,6,7,1,3,0,1,1,0
34,278,25,16,8,14,15,0,9,7,0
35,19,1,1,4,0,0,0,0,0,0
36,26,3,0,1,1,0,0,0,0,0
37,54,2,2,0,5,0,1,1,0,0
38,45,15,6,4,1,0,0,0,0,0
39,72,2,2,0,3,0,8,0,0,0
40,120,6,13,0,4,1,0,0,1,0
41,82,10,6,0,8,0,3,0,0,0
42,61,13,4,5,8,2,0,3,0,0
43,52,0,1,2,0,4,0,0,0,0
44,44,2,2,6,3,1,0,2,0,0
45,31,7,4,2,0,0,2,0,0,0
46,47,2,4,3,2,0,0,0,0,0
47,31,10,2,1,3,1,0,1,0,0
48,35,3,5,1,1,0,0,0,0,1
49,52,4,8,11,4,6,0,1,1,0
50,74,0,2,2,7,0,4,5,0,0
51,104,33,11,4,4,0,4,1,0,0
52,60,1,10,7,1,0,1,1,0,0
53,39,8,2,1,4,3,3,0,0,0
54,121,6,9,1,7,4,2,0,2,0
55,47,5,10,3,3,0,0,0,1,1
56,58,8,6,1,3,0,2,0,0,0
57,22,11,1,4,2,3,0,0,1,0
58,36,3,2,3,2,2,0,2,0,0
59,31,1,0,0,0,0,3,0,0,0
60,18,5,2,5,0,0,0,2,0,0
61,52,1,0,3,5,2,0,0,0,0
62,52,1,0,3,5,2,0,0,0,0
63,268,4,26,17,18,4,0,0,0,0
64,80,13,4,3,5,3,0,1,0,3
65,21,5,4,0,2,0,0,1,0,0
66,56,2,8,1,3,2,3,1,0,0
67,102,0,10,4,3,5,0,1,1,0
68,93,8,9,0,9,2,4,0,1,0
69,46,2,2,3,4,0,3,0,0,0
70,39,9,8,2,4,0,0,1,0,0
71,53,3,3,3,0,2,0,0,0,0
72,38,18,7,3,1,0,0,2,0,0
73,64,4,5,1,1,3,0,0,1,0
74,36,4,10,2,3,0,0,1,0,0
75,294,6,24,13,21,9,12,3,1,0
76,44,5,5,0,1,0,0,1,0,0
77,39,5,3,3,2,0,3,0,0,0
78,114,14,7,10,7,1,0,0,0,0
79,59,4,3,7,0,5,0,0,2,0
80,68,12,6,5,0,5,0,0,2,0
81,24,7,8,5,2,1,0,1,0,0
82,92,7,12,0,0,0,8,0,0,0
83,56,1,7,1,8,0,0,2,0,0
84,46,4,5,2,3,0,0,0,0,0
85,28,1,4,1,0,2,0,1,0,0
86,24,6,9,1,3,0,0,0,0,0
87,50,0,0,1,3,0,0,0,0,0
88,55,4,2,2,2,0,0,1,0,0
89,51,6,6,1,3,0,0,0,1,0
90,25,2,0,0,0,0,0,0,0,0
91,21,9,2,0,0,0,2,0,0,0
92,153,27,9,8,4,11,0,0,0,0
93,12,25,8,6,18,1,0,1,0,0
94,27,8,6,0,1,0,0,0,0,0
95,31,1,7,2,0,1,0,0,0,0
96,48,4,4,2,3,0,2,0,0,0
97,81,13,8,0,0,0,4,1,0,0
98,27,2,27,3,3,0,0,31,0,0
99,46,5,5,0,6,0,4,0,0,0
100,23,14,0,0,0,3,0,0,0,0
101,47,4,4,4,1,1,0,0,0,0
102,80,1,8,3,2,2,3,0,0,0
103,100,2,1,5,2,0,0,0,0,0
104,44,1,2,1,1,2,0,1,0,0
105,35,3,5,1,5,0,0,1,0,0
106,53,2,4,0,1,0,0,0,0,0
107,19,6,6,3,3,0,0,0,2,0
108,179,12,15,2,10,7,0,7,1,0
109,62,0,8,0,1,0,8,0,0,0
110,72,0,4,8,2,0,0,0,0,0
111,68,3,5,0,3,2,0,0,0,0
112,38,3,7,3,0,2,0,0,3,0
113,38,3,7,3,0,2,0,0,3,0
114,117,14,15,5,13,11,11,2,0,0
115,36,8,3,1,1,0,0,0,1,0
116,81,11,6,0,8,0,3,1,0,5
117,54,18,13,2,9,5,0,0,0,0
118,27,6,1,2,1,0,0,0,1,0
119,59,6,6,7,6,5,0,0,0,0
120,37,6,3,0,0,1,0,2,0,0
121,33,2,2,3,0,2,0,0,0,0
122,161,21,13,5,9,5,0,0,1,0
123,82,30,7,3,7,3,0,7,2,0
124,41,1,3,0,5,0,1,0,1,0
125,43,1,7,0,7,0,7,2,0,0
126,29,1,2,1,1,2,0,1,0,0
127,50,3,1,1,0,0,1,0,0,0
128,80,1,2,4,2,7,0,1,0,0
129,83,2,15,1,1,0,4,0,0,0
130,65,5,6,0,5,1,11,0,0,3
131,93,7,4,3,0,0,0,3,0,0
132,45,3,2,6,1,3,0,0,1,0
133,123,10,10,7,6,8,0,0,2,0
134,19,5,10,0,0,0,0,1,0,0
135,25,22,8,1,9,1,6,2,0,2
136,89,16,19,7,3,5,2,2,2,0
137,65,7,4,1,6,0,1,1,0,0
138,94,39,10,2,9,2,0,2,1,2
139,80,17,9,9,7,9,0,1,1,0
140,67,13,5,6,2,4,0,2,1,0
141,191,34,24,0,13,6,9,1,0,16
142,32,3,1,0,2,0,6,0,0,0
143,21,0,6,5,2,0,0,0,0,0
144,63,25,8,0,7,2,0,0,1,0
145,132,8,9,2,4,5,3,0,0,0
146,58,2,2,0,3,0,0,1,0,0
147,29,18,8,3,15,2,0,1,1,0
148,44,13,11,0,4,0,7,0,0,0
149,105,6,10,1,2,0,9,0,0,0
150,48,3,6,5,0,0,0,1,0,0
151,67,5,5,5,2,1,0,0,0,0
152,75,2,2,4,2,4,0,0,0,0
153,74,2,6,2,2,4,0,0,0,0
154,63,6,5,2,5,0,0,0,0,6
155,31,3,5,1,4,1,2,0,0,0
156,129,6,11,12,3,15,0,0,1,0
157,112,1,4,3,1,6,0,1,0,0
158,29,2,5,1,0,3,0,0,0,0
159,39,0,2,7,1,0,0,0,1,0
160,36,1,3,1,1,2,0,0,0,0
161,42,9,9,1,2,1,3,1,0,0
162,62,45,7,4,6,10,0,0,0,0
163,94,20,7,5,5,4,0,0,1,0
164,56,8,2,0,2,1,9,0,0,0
165,20,2,6,3,2,0,0,0,1,0
166,40,3,3,0,0,0,2,0,0,0
167,51,2,6,0,1,0,2,0,0,0
168,35,4,3,0,2,0,3,0,0,0
169,43,8,5,6,0,4,0,0,0,0
170,34,3,4,2,3,0,1,1,0,0
171,26,6,5,0,1,0,0,3,0,0
172,49,2,9,2,3,2,0,0,0,0
173,65,3,1,2,2,2,0,0,2,0
174,33,5,2,5,1,3,0,0,0,0
175,21,12,5,1,3,0,0,3,0,0
176,70,7,4,0,8,0,3,0,0,0
177,64,13,4,1,6,1,6,0,0,0
178,154,19,14,2,7,0,5,0,0,0
179,60,1,3,5,3,0,1,0,0,0
180,61,5,9,4,2,1,0,0,1,0
181,222,10,36,11,8,10,0,13,2,0
182,51,2,4,7,1,5,0,0,0,0
183,66,5,2,6,5,3,2,0,1,0
184,53,8,6,10,4,5,0,0,1,0
185,43,16,15,7,6,5,0,0,0,0
186,58,7,11,4,7,3,0,0,4,0
187,104,30,3,2,5,0,10,1,0,0
188,40,5,3,3,2,0,0,1,0,0
189,74,13,2,2,3,0,7,0,0,0
190,53,8,2,0,3,1,4,1,0,3
191,29,16,7,3,1,0,0,0,0,0
192,94,8,13,9,0,0,0,2,0,0
193,71,5,17,1,0,3,0,2,0,0
194,73,1,2,5,1,0,0,0,1,0
195,50,4,4,0,3,0,4,0,0,0
196,55,3,2,3,4,0,0,0,0,0
197,42,2,6,5,1,1,1,0,0,0
198,32,3,7,3,3,0,0,0,0,0
199,61,7,3,5,4,3,0,0,0,0
200,115,25,4,1,6,4,9,0,0,0
201,65,3,4,3,3,0,0,0,0,0
202,61,8,9,5,3,4,0,0,0,0
203,40,1,2,3,5,0,1,0,0,0
204,87,17,3,5,1,1,0,1,0,0
205,71,5,15,9,8,10,0,0,1,0
206,37,9,6,5,4,5,0,0,0,0
207,48,6,4,3,0,5,0,1,0,0
208,11,26,15,3,7,0,2,3,0,0
209,60,1,5,6,2,0,0,0,1,0
210,66,14,6,5,2,1,0,0,0,0
211,69,2,4,6,6,0,0,0,0,0
212,40,9,3,0,0,0,0,0,0,0
213,86,6,9,2,3,10,0,1,1,0
214,28,2,0,0,2,0,2,0,0,0
215,30,3,4,3,0,1,0,0,0,0
216,70,7,5,6,6,0,0,0,0,0
217,95,4,5,0,5,2,9,0,0,0
218,46,3,1,4,1,4,0,0,1,0
219,36,1,7,0,0,0,0,1,0,0
220,28,2,0,5,2,1,0,0,0,0
221,47,4,8,8,4,4,0,0,1,0
222,70,11,6,1,5,0,0,0,1,1
223,73,1,9,0,1,0,6,0,0,0
224,43,2,2,4,1,0,0,0,0,0
225,117,18,10,8,3,2,0,1,1,0
226,140,11,9,5,9,7,0,0,0,0
227,87,9,4,5,8,0,6,0,0,0
228,122,21,3,4,6,1,0,0,0,0
229,85,6,8,2,3,0,5,1,0,0
230,30,9,7,2,0,2,0,0,0,0
231,60,1,3,2,0,7,0,1,0,0
232,61,4,7,8,0,3,0,0,1,0
233,57,18,3,6,8,0,4,0,0,1
234,30,1,0,2,2,0,0,0,1,0
235,45,1,2,1,1,0,0,2,0,0
236,43,1,1,0,0,1,0,0,0,0
237,37,6,3,3,3,1,0,0,0,0
238,36,6,6,1,0,1,0,0,0,0
239,42,9,1,0,2,0,5,0,0,0
240,101,1,14,7,4,0,6,0,0,0
241,154,13,12,13,4,7,0,1,2,0
242,38,2,2,4,0,4,0,0,1,0
243,65,7,9,1,6,1,0,0,0,0
244,61,1,2,1,2,3,4,0,0,0
245,52,0,7,0,2,0,3,1,0,0
246,54,3,2,0,5,0,3,2,0,0
247,39,3,5,1,2,1,0,0,0,0
248,107,14,15,0,11,0,2,2,0,8
249,33,0,2,0,0,0,0,0,1,0
250,35,2,4,2,3,4,0,0,0,0
251,33,2,1,0,0,0,0,0,1,0
252,24,2,3,0,0,0,0,1,0,0
253,56,5,2,2,0,1,0,1,0,0
254,88,13,9,0,6,2,6,1,0,0
255,147,10,12,0,0,1,0,15,0,0
256,35,3,5,2,1,3,0,0,0,0
257,53,4,5,2,4,2,1,0,0,0
258,57,1,2,2,4,0,1,0,0,0
259,85,2,8,9,9,7,0,2,0,0
260,48,8,4,3,2,0,0,0,0,0
261,156,14,11,10,8,6,0,3,3,0
262,30,13,1,6,1,1,0,0,1,0
263,99,8,17,3,3,1,6,0,1,0
264,99,8,17,3,3,1,6,0,1,0
265,58,1,5,1,0,0,2,0,0,0
266,66,13,19,0,9,0,8,1,0,0
267,45,5,5,4,0,2,0,0,0,0
268,195,46,20,1,19,0,11,1,0,1
269,28,6,1,2,3,0,0,1,0,0
270,65,3,6,1,3,0,6,0,0,0
271,256,24,22,18,1,16,0,11,4,0
272,44,0,3,3,0,3,0,0,0,0
273,105,1,8,0,0,0,5,2,0,0
274,91,4,8,0,11,1,3,1,0,0
275,57,6,8,4,5,1,0,2,0,0
276,58,5,2,0,3,0,7,0,0,0
277,31,8,3,6,0,6,0,1,0,0
278,28,8,7,0,2,2,0,5,1,0
279,69,18,7,2,6,0,0,1,0,0
280,29,3,2,7,0,0,0,0,1,0
281,51,14,7,4,4,1,0,0,0,0
282,27,9,4,0,1,1,6,0,1,0
283,52,5,9,3,1,0,2,2,0,0
284,30,10,9,2,5,1,0,0,0,0
285,61,11,9,11,4,2,0,0,2,0
286,110,6,3,8,7,2,0,0,0,0
287,50,6,6,1,1,1,0,0,0,0
288,48,2,6,3,2,0,3,0,0,0
289,48,11,7,4,5,1,0,0,0,0
290,112,13,16,0,10,0,8,0,0,0
291,31,1,5,7,0,7,0,0,1,0
292,66,10,3,0,4,0,7,1,0,3
293,31,0,2,4,1,3,0,0,0,0
294,53,12,2,7,1,2,0,0,1,0
295,116,29,15,7,10,6,0,0,2,0
296,75,4,18,1,3,7,0,1,1,0
297,59,11,5,8,2,3,6,0,0,0
298,52,1,3,1,0,1,2,0,0,0
299,237,19,18,1,0,5,9,2,0,0
300,69,3,3,1,3,2,0,0,0,0
301,21,2,1,1,3,0,0,0,0,0
302,45,10,5,1,0,1,0,0,0,0
303,49,1,3,3,0,0,1,0,0,0
304,39,7,0,0,2,1,1,1,0,0
305,59,5,4,0,0,1,0,0,0,0
306,89,3,7,4,9,8,0,2,0,0
307,99,7,9,7,4,3,0,0,0,0
308,96,6,1,0,3,3,5,1,0,2
309,52,9,4,1,3,0,3,0,0,0
310,76,3,4,1,3,0,9,0,0,0
311,92,21,6,0,11,0,0,4,0,1
312,50,1,5,0,0,0,1,0,0,1
313,85,11,11,11,5,2,0,0,2,0
314,57,2,9,1,2,4,0,1,1,0
315,35,1,1,2,1,0,1,0,0,0
316,38,9,7,4,0,0,0,0,0,0
317,48,2,4,4,0,2,0,1,0,0
318,148,23,9,1,13,8,5,0,3,0
319,22,11,8,2,5,1,0,1,0,0
320,37,6,3,3,0,0,0,0,0,0
321,133,22,14,5,8,1,1,3,0,1
322,55,1,10,0,8,0,9,0,0,0
323,25,11,7,7,4,2,0,0,0,0
324,39,24,8,0,11,3,3,1,0,0
325,80,10,22,5,3,0,0,0,0,0
326,67,5,3,4,2,5,0,0,0,0
327,204,7,10,11,3,0,0,1,0,5
328,39,5,4,2,2,1,0,1,0,0
329,48,3,3,0,1,0,1,0,0,0
330,36,8,6,4,3,0,0,0,0,0
331,89,5,5,6,7,3,0,1,1,0
332,92,19,15,1,1,0,5,0,0,4
333,41,14,11,15,2,3,0,0,0,0
334,102,4,12,0,6,5,6,1,0,0
335,47,6,4,2,0,6,0,0,0,0
336,63,28,14,6,10,0,1,0,0,0
337,41,6,8,1,0,2,0,0,1,0
338,29,3,3,3,0,0,0,0,1,0
339,53,5,3,1,4,2,0,3,2,0
340,40,6,5,8,0,0,0,0,0,8
341,80,9,6,2,3,7,0,1,1,0
342,50,0,3,1,3,0,0,0,0,0
343,89,3,8,7,3,1,0,0,1,0
344,110,27,21,6,10,4,0,1,0,0
345,78,4,8,2,5,2,0,1,0,0
346,34,6,4,4,0,3,0,0,0,0
347,26,3,2,5,1,0,0,1,2,0
348,59,4,9,5,2,0,1,0,0,0
349,66,10,2,5,1,2,0,0,1,0
350,46,2,2,2,0,2,5,2,0,0
351,36,7,6,1,3,0,0,0,0,0
352,42,9,6,3,2,1,0,0,0,0
353,60,12,10,10,3,0,0,0,1,0
354,36,6,5,0,4,0,1,0,0,0
355,99,13,17,8,9,1,11,1,2,0
356,106,42,10,1,1,4,14,2,0,7
357,65,4,2,0,0,3,0,1,1,0
358,84,25,11,7,15,3,0,3,1,0
359,77,0,2,5,0,1,0,0,0,0
360,70,1,8,0,3,1,2,2,0,0
361,65,5,6,0,4,0,0,0,0,0
362,66,5,6,0,4,0,0,0,0,0
363,53,4,3,6,4,4,0,0,1,0
364,53,4,3,6,4,4,0,0,1,0
365,38,4,0,0,2,0,1,0,0,1
366,85,3,10,5,1,3,2,1,0,0
367,59,3,5,2,0,1,0,3,0,0
368,27,9,6,1,1,2,0,0,0,0
369,38,5,5,3,3,2,0,0,0,0
370,51,0,3,1,2,0,1,0,0,0
371,99,18,6,4,4,1,0,2,0,0
372,48,7,0,3,6,4,1,2,0,0
373,40,13,9,0,1,0,2,2,0,0
374,66,5,9,3,2,1,0,3,0,3
375,111,23,9,6,2,0,0,0,0,7
376,61,5,4,3,7,4,2,1,0,0
377,36,5,2,2,0,3,1,0,0,0
378,175,5,16,8,2,0,1,3,0,0
379,92,12,11,8,5,10,0,1,0,0
380,59,2,6,1,2,4,0,1,0,0
381,45,4,1,4,1,0,0,1,1,0
382,27,1,2,0,0,0,0,0,1,0
383,84,3,4,0,0,0,0,0,1,0
384,84,4,10,5,2,1,0,4,1,0
385,77,9,12,4,1,4,3,1,0,0
386,125,15,7,8,1,2,0,2,0,0
387,66,5,11,3,6,3,0,1,0,0
388,39,11,8,1,5,0,3,1,0,0
389,49,3,7,6,0,4,0,0,1,0
390,47,5,6,0,0,0,0,1,0,0
391,39,2,6,5,2,4,0,0,0,0
392,211,9,4,3,13,3,0,3,1,0
393,47,11,9,2,1,4,2,0,0,0
394,111,28,7,10,4,8,1,1,3,0
395,88,2,6,0,1,2,0,2,0,0
396,55,2,2,0,5,0,5,2,0,6
397,68,5,2,4,2,0,1,0,0,0
398,42,5,9,10,2,6,0,2,0,0
399,45,10,14,9,5,2,0,1,0,0
400,141,7,12,2,5,1,0,4,0,1
401,83,2,5,2,5,0,0,0,1,0
402,89,4,4,4,0,12,3,0,0,0
403,89,6,9,6,3,3,2,0,0,0
404,56,3,5,0,0,0,0,0,1,0
405,181,58,12,3,8,3,11,2,0,1
406,35,10,8,1,3,0,0,0,0,0
407,28,5,3,0,0,0,1,1,0,0
408,178,7,10,0,8,10,16,1,5,0
409,168,4,11,6,3,6,0,0,0,0
410,68,1,8,3,0,1,0,0,2,0
411,57,2,5,2,5,0,3,0,1,0
412,56,16,7,5,0,0,0,0,0,0
413,40,14,5,0,0,1,0,0,0,0
414,56,2,8,3,0,0,0,0,0,0
415,80,11,3,0,0,0,3,3,2,0
416,101,21,7,0,13,2,14,1,0,0
417,36,3,3,0,0,3,2,0,1,0
418,27,2,4,0,2,0,0,0,0,0
419,26,1,4,8,0,1,0,0,0,0
420,174,27,10,10,11,13,0,4,2,0
421,124,12,20,8,6,6,0,3,3,0
422,56,4,5,3,6,1,0,1,0,0
423,80,1,6,0,0,0,0,0,0,0
424,71,1,5,4,1,6,0,0,0,0
425,68,11,1,7,9,0,8,1,0,0
426,50,7,16,4,3,0,0,0,0,0
427,91,45,23,1,2,4,0,0,2,0
428,42,6,10,3,3,0,0,0,0,0
429,56,2,3,0,3,0,2,0,0,0
430,61,3,5,1,1,0,4,1,0,0
431,19,11,4,8,2,2,0,0,0,0
432,47,1,2,0,1,0,0,0,0,0
433,51,12,6,3,0,2,0,0,1,0
434,41,2,2,3,1,0,1,0,0,0
435,152,3,4,5,3,6,0,3,0,0
436,48,9,6,5,7,9,0,0,3,0
437,61,3,4,6,1,0,0,0,2,0
438,42,4,1,1,2,1,4,2,0,0
439,53,2,4,3,2,1,0,0,1,0
440,53,2,4,3,2,1,0,0,1,0
441,35,14,8,1,0,0,0,0,0,0
442,52,17,2,0,6,1,6,0,0,5
443,144,11,13,11,5,5,0,3,1,0
444,67,1,7,6,2,5,0,0,1,0
445,77,2,4,6,0,3,0,0,0,0
446,67,1,8,1,3,1,0,0,0,0
447,59,9,9,3,2,1,0,0,1,0
448,84,29,16,13,0,3,0,0,0,4
449,42,9,8,5,4,6,0,1,1,0
450,37,2,7,4,1,1,0,0,0,3
451,72,7,5,0,0,0,1,1,0,2
452,72,7,5,0,0,0,1,1,0,2
453,67,5,2,2,2,1,1,0,0,0
454,56,5,10,4,6,0,4,1,0,0
455,30,8,9,1,1,0,0,0,0,0
